Attribute Name;Description;Data Type;Attribute Type;Domain
id;Participant's ID;str;Numerical;[0, 8459]
Basic_Demos-Enroll_Season;Season of enrollment;str;Categorical;
Basic_Demos-Age;Age of participant;float;Numerical;[5, 22]
Basic_Demos-Sex;Sex of participant;categorical int;Binary;[0, 1]
CGAS-Season;Season of participation;str;Categorical;
CGAS-CGAS_Score;Children's Global Assessment Scale Score;int;Numerical;[25.0, 999.0]
Physical-Season;Season of participation;str;Categorical;
Physical-BMI;Body Mass Index (kg/m^2);float;Numerical;[0.0, 59.13204775]
Physical-Height;Height (in);float;Numerical;[33.0, 78.5]
Physical-Weight;Weight (lbs);float;Numerical;[0.0, 315.0]
Physical-Waist_Circumference;Waist circumference (in);int;Numerical;[18.0, 50.0]
Physical-Diastolic_BP;Diastolic BP (mmHg);int;Numerical;[0.0, 179.0]
Physical-HeartRate;Heart rate (beats/min);int;Numerical;[27.0, 138.0]
Physical-Systolic_BP;Systolic BP (mmHg);int;Numerical;[0.0, 203.0]
Fitness_Endurance-Season;Season of participation;str;Categorical;
Fitness_Endurance-Max_Stage;Maximum stage reached;int;Numerical;[0.0, 28.0]
Fitness_Endurance-Time_Mins;Exact time completed: Minutes;int;Numerical;[0.0, 20.0]
Fitness_Endurance-Time_Sec;Exact time completed: Seconds;int;Numerical;[0.0, 59.0]
FGC-Season;Season of participation;str;Categorical;
FGC-FGC_CU;Curl up total;int;Numerical;[0.0, 115.0]
FGC-FGC_CU_Zone;Curl up fitness zone;categorical int;Binary;[0.0, 1.0]
FGC-FGC_GSND;Grip Strength total (non-dominant);float;Numerical;[0.0, 124.0]
FGC-FGC_GSND_Zone;Grip Strength fitness zone (non-dominant);categorical int;Ordinal;[1.0, 3.0]
FGC-FGC_GSD;Grip Strength total (dominant);float;Numerical;[0.0, 123.8]
FGC-FGC_GSD_Zone;Grip Strength fitness zone (dominant);categorical int;Ordinal;[1.0, 3.0]
FGC-FGC_PU;Push-up total;int;Numerical;[0.0, 51.0]
FGC-FGC_PU_Zone;Push-up fitness zone;categorical int;Binary;[0.0, 1.0]
FGC-FGC_SRL;Sit & Reach total (left side);float;Numerical;[0.0, 21.7]
FGC-FGC_SRL_Zone;Sit & Reach fitness zone (left side);categorical int;Binary;[0.0, 1.0]
FGC-FGC_SRR;Sit & Reach total (right side);float;Numerical;[0.0, 21.0]
FGC-FGC_SRR_Zone;Sit & Reach fitness zone (right side);categorical int;Binary;[0.0, 1.0]
FGC-FGC_TL;Trunk lift total;int;Numerical;[0.0, 22.0]
FGC-FGC_TL_Zone;Trunk lift fitness zone;categorical int;Binary;[0.0, 1.0]
BIA-Season;Season of participation;str;Categorical;
BIA-BIA_Activity_Level_num;Activity Level;categorical int;Ordinal;[1.0, 5.0]
BIA-BIA_BMC;Bone Mineral Content;float;Numerical;[-7.78961, 4115.36]
BIA-BIA_BMI;Body Mass Index;float;Numerical;[0.0482667, 53.9243]
BIA-BIA_BMR;Basal Metabolic Rate;float;Numerical;[813.397, 83152.2]
BIA-BIA_DEE;Daily Energy Expenditure;float;Numerical;[1073.45, 124728.0]
BIA-BIA_ECW;Extracellular Water;float;Numerical;[1.78945, 3233.0]
BIA-BIA_FFM;Fat Free Mass;float;Numerical;[28.9004, 8799.08]
BIA-BIA_FFMI;Fat Free Mass Index;float;Numerical;[7.86485, 217.771]
BIA-BIA_FMI;Fat Mass Index;float;Numerical;[-194.163, 28.2515]
BIA-BIA_Fat;Body Fat Percentage;float;Numerical;[-8745.08, 153.82]
BIA-BIA_Frame_num;Body Frame;categorical int;Ordinal;[1.0, 3.0]
BIA-BIA_ICW;Intracellular Water;float;Numerical;[14.489, 2457.91]
BIA-BIA_LDM;Lean Dry Mass;float;Numerical;[4.63581, 3108.17]
BIA-BIA_LST;Lean Soft Tissue;float;Numerical;[23.6201, 4683.71]
BIA-BIA_SMM;Skeletal Muscle Mass;float;Numerical;[4.65573, 3607.69]
BIA-BIA_TBW;Total Body Water;float;Numerical;[20.5892, 5690.91]
PAQ_A-Season;Season of participation;str;Categorical;
PAQ_A-PAQ_A_Total;Activity Summary Score (Adolescents);float;Numerical;[0.66, 5.0]
PAQ_C-Season;Season of participation;str;Categorical;
PAQ_C-PAQ_C_Total;Activity Summary Score (Children);float;Numerical;[0.58, 5.0]
PCIAT-Season;Season of participation;str;Categorical;[Fall, Winter]
PCIAT-PCIAT_01;How often does your child disobey time limits you set for online use?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_02;How often does your child neglect household chores to spend more time online?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_03;How often does your child prefer to spend time online rather than with the rest of your family?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_04;How often does your child form new relationships with fellow online users?;categorical int;Ordinal;[0.0, 5.0]
