Var,N,Unique Values,Top,Freq,Mean,Std. Dev.,10%,50%,90%,Missing,%Missing
id,8460,,,,4229.5,2442.336,845.9,4229.5,7613.1,0,0.0
Basic_Demos-Enroll_Season,8460,4,Spring,2447,,,,,,0,0.0
Basic_Demos-Age,8460,,,,10.2402,3.5747,6.0,10.0,16.0,0,0.0
Basic_Demos-Sex,8460,,,,0.4024,0.4904,0.0,0.0,1.0,0,0.0
CGAS-Season,7158,4,Spring,2561,,,,,,1302,15.39
CGAS-CGAS_Score,7034,,,,67.021,35.2841,53.5,65.0,80.0,1426,16.86
Physical-Season,7858,4,Spring,2726,,,,,,602,7.12
Physical-BMI,7591,,,,19.5327,4.6839,15.3778,17.9377,25.198,869,10.27
Physical-Height,7595,,,,57.1891,7.3746,48.11,55.7,67.976,865,10.22
Physical-Weight,7641,,,,84.4287,40.2184,45.2,75.0,138.8,819,9.68
Physical-Waist_Circumference,5624,,,,26.9591,3.8218,23.1,26.0,31.5,2836,33.52
Physical-Diastolic_BP,7528,,,,68.9376,11.1625,57.5,68.0,82.0,932,11.02
Physical-HeartRate,7539,,,,81.8942,11.3805,68.0,81.5,97.0,921,10.89
Physical-Systolic_BP,7528,,,,115.6904,14.0187,101.0,114.0,133.0,932,11.02
Fitness_Endurance-Season,6004,4,Spring,3278,,,,,,2456,29.03
Fitness_Endurance-Max_Stage,5480,,,,4.919,1.1742,4.0,5.0,6.0,2980,35.22
Fitness_Endurance-Time_Mins,5478,,,,7.0178,1.7338,5.5,7.0,8.5,2982,35.25
Fitness_Endurance-Time_Sec,5478,,,,27.6086,10.2523,15.5,28.0,39.5,2982,35.25
FGC-Season,7891,4,Spring,2722,,,,,,569,6.73
FGC-FGC_CU,6943,,,,9.8315,9.161,0.0,9.0,20.5,1517,17.93
FGC-FGC_CU_Zone,6906,,,,0.3955,0.489,0.0,0.0,1.0,1554,18.37
FGC-FGC_GSND,5787,,,,19.8288,7.6098,13.4,19.0,27.1,2673,31.6
FGC-FGC_GSND_Zone,5776,,,,1.9335,0.3997,1.0,2.0,2.0,2684,31.73
FGC-FGC_GSD,5787,,,,21.0649,7.4529,14.5,19.8,29.4,2673,31.6
FGC-FGC_GSD_Zone,5776,,,,1.9539,0.3921,1.0,2.0,2.0,2684,31.73
FGC-FGC_PU,6932,,,,4.6653,6.0723,0.0,3.0,11.0,1528,18.06
FGC-FGC_PU_Zone,6895,,,,0.2261,0.4183,0.0,0.0,1.0,1565,18.5
FGC-FGC_SRL,6926,,,,8.4845,2.6457,5.0,9.0,11.5,1534,18.13
FGC-FGC_SRL_Zone,6891,,,,0.7176,0.4502,0.0,1.0,1.0,1569,18.55
FGC-FGC_SRR,6928,,,,8.1586,2.788,4.5,9.0,11.0,1532,18.11
FGC-FGC_SRR_Zone,6893,,,,0.6878,0.4634,0.0,1.0,1.0,1567,18.52
FGC-FGC_TL,6945,,,,8.8781,2.5582,5.0,9.0,12.0,1515,17.91
FGC-FGC_TL_Zone,6908,,,,0.8382,0.3683,0.0,1.0,1.0,1552,18.35
BIA-Season,6778,4,Summer,2751,,,,,,1682,19.88
BIA-BIA_Activity_Level_num,6636,,,,2.7307,0.8035,2.0,3.0,4.0,1824,21.56
