Attribute,Domain
id,"[0, 8459]"
Basic_Demos-Enroll_Season,
Basic_Demos-Age,"[5, 22]"
Basic_Demos-Sex,"[0, 1]"
CGAS-Season,
CGAS-CGAS_Score,"[25.0, 999.0]"
Physical-Season,
Physical-BMI,"[0.0, 59.13204775]"
Physical-Height,"[33.0, 78.5]"
Physical-Weight,"[0.0, 315.0]"
Physical-Waist_Circumference,"[18.0, 50.0]"
Physical-Diastolic_BP,"[0.0, 179.0]"
Physical-HeartRate,"[27.0, 138.0]"
Physical-Systolic_BP,"[0.0, 203.0]"
Fitness_Endurance-Season,
Fitness_Endurance-Max_Stage,"[0.0, 28.0]"
Fitness_Endurance-Time_Mins,"[0.0, 20.0]"
Fitness_Endurance-Time_Sec,"[0.0, 59.0]"
FGC-Season,
FGC-FGC_CU,"[0.0, 115.0]"
FGC-FGC_CU_Zone,"[0.0, 1.0]"
FGC-FGC_GSND,"[0.0, 124.0]"
FGC-FGC_GSND_Zone,"[1.0, 3.0]"
FGC-FGC_GSD,"[0.0, 123.8]"
FGC-FGC_GSD_Zone,"[1.0, 3.0]"
FGC-FGC_PU,"[0.0, 51.0]"
FGC-FGC_PU_Zone,"[0.0, 1.0]"
FGC-FGC_SRL,"[0.0, 21.7]"
FGC-FGC_SRL_Zone,"[0.0, 1.0]"
FGC-FGC_SRR,"[0.0, 21.0]"
FGC-FGC_SRR_Zone,"[0.0, 1.0]"
FGC-FGC_TL,"[0.0, 22.0]"
FGC-FGC_TL_Zone,"[0.0, 1.0]"
BIA-Season,
BIA-BIA_Activity_Level_num,"[1.0, 5.0]"
BIA-BIA_BMC,"[-7.78961, 4115.36]"
BIA-BIA_BMI,"[0.0482667, 53.9243]"
BIA-BIA_BMR,"[813.397, 83152.2]"
BIA-BIA_DEE,"[1073.45, 124728.0]"
BIA-BIA_ECW,"[1.78945, 3233.0]"
BIA-BIA_FFM,"[28.9004, 8799.08]"
BIA-BIA_FFMI,"[7.86485, 217.771]"
BIA-BIA_FMI,"[-194.163, 28.2515]"
BIA-BIA_Fat,"[-8745.08, 153.82]"
BIA-BIA_Frame_num,"[1.0, 3.0]"
BIA-BIA_ICW,"[14.489, 2457.91]"
BIA-BIA_LDM,"[4.63581, 3108.17]"
BIA-BIA_LST,"[23.6201, 4683.71]"
BIA-BIA_SMM,"[4.65573, 3607.69]"
BIA-BIA_TBW,"[20.5892, 5690.91]"
PAQ_A-Season,
PAQ_A-PAQ_A_Total,"[0.66, 5.0]"
PAQ_C-Season,
PAQ_C-PAQ_C_Total,"[0.58, 5.0]"
PCIAT-Season,"[Fall, Winter]"
PCIAT-PCIAT_01,"[0.0, 5.0]"
PCIAT-PCIAT_02,"[0.0, 5.0]"
PCIAT-PCIAT_03,"[0.0, 5.0]"
PCIAT-PCIAT_04,"[0.0, 5.0]"
PCIAT-PCIAT_05,"[0.0, 5.0]"
PCIAT-PCIAT_06,"[0.0, 5.0]"
PCIAT-PCIAT_07,"[0.0, 5.0]"
PCIAT-PCIAT_08,"[0.0, 5.0]"
PCIAT-PCIAT_09,"[0.0, 5.0]"
PCIAT-PCIAT_10,"[0.0, 5.0]"
PCIAT-PCIAT_11,"[0.0, 5.0]"
PCIAT-PCIAT_12,"[0.0, 5.0]"
PCIAT-PCIAT_13,"[0.0, 5.0]"
PCIAT-PCIAT_14,"[0.0, 5.0]"
PCIAT-PCIAT_15,"[0.0, 5.0]"
PCIAT-PCIAT_16,"[0.0, 5.0]"
PCIAT-PCIAT_17,"[0.0, 5.0]"
PCIAT-PCIAT_18,"[0.0, 5.0]"
PCIAT-PCIAT_19,"[0.0, 5.0]"
PCIAT-PCIAT_20,"[0.0, 5.0]"
PCIAT-PCIAT_Total,"[0.0, 93.0]"
SDS-Season,
SDS-SDS_Total_Raw,"[17.0, 96.0]"
SDS-SDS_Total_T,"[38.0, 100.0]"
PreInt_EduHx-Season,
PreInt_EduHx-computerinternet_hoursday,"[0.0, 3.0]"
sii,"[0.0, 3.0]"
